State,StateAbv,State Capital,Region,AllParks,park_rank,State Parks,State Forests,State Wildlife Management Areas,National Park,National Forests,National Historic Sites,National Historic Park,National Monuments,National Wildlife Refuges,National Parks,National Historic Parks,National Recreation Trail,National Park and Preserves,State Recreation Area,State Historic Site,State Fish Hatchery,State Wildlife Area,National Memorial,National Historic Site,National Wildlife Area,National Recreation Area,National Recreation Trails,Metro and City Parks,State Forest,State Fish Hatcherys,State Natural Area,State Recreation Areas,State Historic Sites,State Nature Preserve,State Reserves,State Wildlife Areas,National Recreation Areas,National Seashore,National Park and Preserve,National Historic Landmark,National Monument,State Memorial,State Preserves,National Memorials,State Wildlife Management Area,State Wildlife Refuge,Army Corps of Engineerss,Metro and City Parkss,State Memorials,State Natural Areas,National Forest,State Fishing Area,National Wildlife Refuge,State Reserve,State Airport,National Historic Landmarks,National Wilderness Areas,National Natural Area,National Seashores,Army Corps of Engineers,State Nature Preserves,State Nursery,State Preserve,State Scenic Rivers,State Fishery Areas,Trail
Louisiana,LA,Baton Rouge,South,46,15,20,0,9,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,ME,Augusta,Northeast,43,13,34,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,MD,Annapolis,Northeast,59,27,37,5,6,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,MA,Boston,Northeast,78,36,24,38,0,1,0,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,MI,Lansing,Midwest,101,42,74,12,0,0,4,0,1,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,MN,St. Paul,Midwest,81,38,52,11,9,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,MS,Jackson,South,50,17,23,0,8,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,MO,Jefferson City,Midwest,83,39,38,7,6,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,12,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,Helena,West,65,31,38,0,0,0,10,2,0,0,9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,NE,Lincoln,Midwest,32,10,9,0,11,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
