State,StateAbv,State Capital,Region, State Parks, State Forests, State Wildlife Management Areas,National Park, National Forests, National Historic Sites,National Historic Park, National Monuments, National Wildlife Refuges, National Parks, National Historic Parks,National Recreation Trail, National Park and Preserves,State Recreation Area,State Historic Site,State Fish Hatchery,State Wildlife Area,National Memorial,National Historic Site,National Wildlife Area,National Recreation Area, National Recreation Trails,Metro and City Parks,State Forest, State Fish Hatcherys,State Natural Area, State Recreation Areas, State Historic Sites,State Nature Preserve, State Reserves, State Wildlife Areas, National Recreation Areas,National Seashore,National Park and Preserve,National Historic Landmark,National Monument,State Memorial, State Preserves, National Memorials,State Wildlife Management Area,State Wildlife Refuge, Army Corps of Engineerss, Metro and City Parkss, State Memorials, State Natural Areas,National Forest,State Fishing Area,National Wildlife Refuge,State Reserve,State Airport, National Historic Landmarks, National Wilderness Areas,National Natural Area, National Seashores,Army Corps of Engineers, State Nature Preserves,State Nursery,State Preserve, State Scenic Rivers, State Fishery Areas,Trail
New Mexico,NM,Santa Fe,West,28,,,,5,,,3,8,3,2,1,,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,,,,,,,
New York,NY,Albany,Northeast,89,3,,1,,5,1,4,5,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,Raleigh,South,35,2,,,4,2,,,8,2,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
North Dakota,ND,Bismarck,Midwest,7,,,,,2,,,16,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,OH,Columbus,Midwest,77,17,,1,,,,,3,,2,,,,,,,,,,,,,,,,,,,2,14,,,,,,,,2,,,,3,20,,1,,,,,,,,,,4,,,,,
Oklahoma,OK,Oklahoma City,South,35,,2,,,2,,,4,,,,,,,,,,,1,,,,,3,,,,,,,2,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Oregon,OR,Salem,West,111,3,,1,14,,,2,16,,,,,,,,,1,1,,,3,,,6,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Pennsylvania,PA,Harrisburg,Northeast,111,19,,1,,5,,,,,3,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,,,,,,,1,,1,,,,,,,,,,,,,
Rhode Island,RI,Providence,Northeast,9,,,1,,,,,4,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,Columbia,South,40,4,,,,2,,,5,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
South Dakota,SD,Pierre,Midwest,15,,,,,,,,4,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Tennessee,TN,Nashville,South,31,10,3,1,,,1,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,3,,
Texas,TX,Austin,South,76,2,,,4,,1,,10,3,,,,,,1,,1,1,,,,,,,,,2,,,,2,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,
Utah,UT,Salt Lake City,West,29,,,,4,2,,4,2,5,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Vermont,VT,Montpelier,Northeast,12,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
Virginia,VA,Richmond,South,24,5,2,,2,2,,2,,7,3,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Washington,WA,Olympia,West,131,2,,,7,3,,,17,3,2,,,,,,1,,,,,,,,,1,6,,,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
West Virginia,WV,Charleston,South,29,9,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,
Wisconsin,WI,Madison,Midwest,42,8,3,,2,,,,5,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,3,1
Wyoming,WY,Cheyenne,West,13,,,,5,2,,,4,2,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
