0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,State,State.1,State Capital,Region
{' State Parks': '24'},{' State Forests': '38'},{'State Wildlife Management Area': 1},{'National Park': 1},{' National Historic Sites': '6'},{' National Historic Parks': '3'},{' National Wildlife Refuges': '4'},{'National Seashore': 1},,,,,,,,,,,,Massachusetts,MA,Boston,Northeast
{' State Parks': '74'},{' State Forests': '12'},{'State Reserve': 1},{'State Wildlife Area': 1},{'State Wildlife Management Area': 1},{' National Parks': '2'},{' National Forests': '4'},{'National Historic Site': 1},{'National Historic Park': 1},{' National Wildlife Refuges': '4'},,,,,,,,,,Michigan,MI,Lansing,Midwest
{' State Parks': '52'},{' State Forests': '11'},{' State Wildlife Management Areas': '9'},{'National Park': 1},{' National Forests': '2'},{' National Wildlife Refuges': '6'},,,,,,,,,,,,,,Minnesota,MN,St. Paul,Midwest
{' State Parks': '23'},{' State Wildlife Areas': '2'},{' State Wildlife Management Areas': '8'},{' National Forests': '6'},{'National Historic Site': 1},{' National Wildlife Refuges': '9'},{'National Seashore': 1},,,,,,,,,,,,,Mississippi,MS,Jackson,South
{' State Parks': '38'},{' State Forests': '7'},{' State Historic Sites': '7'},{'State Natural Area': 1},{' State Wildlife Areas': '12'},{' State Wildlife Management Areas': '6'},{'State Wildlife Refuge': 1},{'National Forest': 1},{' National Historic Sites': '2'},{' National Wildlife Refuges': '5'},{' Metro and City Parkss': '3'},,,,,,,,,Missouri,MO,Jefferson City,Midwest
{' State Parks': '38'},{'State Wildlife Management Area': 1},{' National Parks': '2'},{' National Forests': '10'},{' National Historic Sites': '2'},{'National Monument': 1},{' National Wildlife Refuges': '9'},{'National Recreation Area': 1},{'National Recreation Trail': 1},,,,,,,,,,,Montana,MT,Helena,West
{' State Parks': '9'},{' State Wildlife Management Areas': '11'},{' National Forests': '2'},{'National Historic Site': 1},{' National Monuments': '2'},{' National Wildlife Refuges': '6'},{'National Recreation Area': 1},,,,,,,,,,,,,Nebraska,NE,Lincoln,Midwest
{' State Parks': '20'},{'State Recreation Area': 1},{'State Fish Hatchery': 1},{' State Wildlife Management Areas': '3'},{'National Park': 1},{' National Forests': '7'},{'National Monument': 1},{'National Wildlife Area': 1},{' National Wildlife Refuges': '9'},{'National Recreation Area': 1},{'National Recreation Trail': 1},,,,,,,,,Nevada,NV,Carson City,West
{' State Parks': '20'},{' State Forests': '5'},{'National Park': 1},{'National Forest': 1},{'National Wildlife Refuge': 1},,,,,,,,,,,,,,,New Hampshire,NH,Concord,Northeast
{' State Parks': '34'},{' State Forests': '11'},{'State Airport': 1},{'State Wildlife Management Area': 1},{' National Parks': '2'},{'National Historic Site': 1},{'National Historic Park': 1},{' National Wildlife Refuges': '5'},{'National Recreation Area': 1},,,,,,,,,,,New Jersey,NJ,Trenton,Northeast
